,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity
35,68,Italy,9.0,"quick in defining the case, few documents",Vague 2021,positive,2
36,37,France,7.0,reliable correct rate,Vague 2021,neutral,1
37,36,Italy,8.0,efficiency,Vague 2021,neutral,1
38,26,Italy,7.0,management,Vague 2021,neutral,1
39,47,France,8.0,never had a problem with my refunds,Vague 2021,neutral,1
40,30,Italy,8.0,loan without interest and with good technology,Vague 2021,neutral,1
41,52,Italy,5.0,ease of contact,Vague 2021,negative,0
42,41,France,7.0,good bank,Vague 2021,neutral,1
43,36,Italy,10.0,sure punctual corrertti,Vague 2021,positive,2
44,49,France,8.0,serious,Vague 2021,neutral,1
45,34,Italy,8.0,i feel good,Vague 2021,neutral,1
46,41,France,6.0,expensive,Vague 2021,negative,0
47,31,Italy,8.0,understanding the dynamics,Vague 2021,neutral,1
48,65,Italy,5.0,very expensive,Vague 2021,negative,0
49,73,France,8.0,"i have been there since 1970, and i have not been disappointed",Vague 2021,neutral,1
50,70,France,10.0,"competitive, fast",Vague 2021,positive,2
51,46,France,10.0,reliable organization with not excessive fees,Vague 2021,positive,2
52,37,France,7.0,practice,Vague 2021,neutral,1
53,66,Italy,7.0,speed and few bureaucratic aspects to evaluate,Vague 2021,neutral,1
54,29,Italy,9.0,acceptable interests,Vague 2021,positive,2
55,61,France,8.0,"card issued by galeries lafayette which i have had for a very long time, it allows me to pay in 3 installments free of charge which suits me for parties or sales",Vague 2021,neutral,1
56,41,Italy,5.0,this is the first time i use it,Vague 2021,negative,0
57,59,France,8.0,i've bought several cars with this organization and i'm satisfied with them.,Vague 2021,neutral,1
58,62,Italy,9.0,speed clarity,Vague 2021,positive,2
59,48,France,8.0,for speed,Vague 2021,neutral,1
60,53,France,8.0,efficient and fast,Vague 2021,neutral,1
61,53,Italy,6.0,it's my bank,Vague 2021,negative,0
62,33,Italy,10.0,"simplicity, speed",Vague 2021,positive,2
63,40,France,5.0,i dont know,Vague 2021,negative,0
64,35,France,5.0,,Vague 2021,negative,0
65,49,France,8.0,globally satisfied with the deadlines and terms,Vague 2021,neutral,1
66,53,Italy,8.0,"i am fine, capable and professional",Vague 2021,neutral,1
67,52,France,9.0,"skills, attractiveness of the rate, speed in the realization of the file",Vague 2021,positive,2
68,55,France,5.0,for wealthy clients,Vague 2021,negative,0
69,74,France,9.0,very interesting promotional rate. ease of setting up the file.,Vague 2021,positive,2
70,36,Italy,9.0,i had no problems with subscription or installment payments. i received assistance when requested and the conditions of the loan were transparent and without surprises,Vague 2021,positive,2
71,64,France,8.0,no worries everything is clear and correct,Vague 2021,neutral,1
72,65,France,9.0,"i have been a customer of a local crã©dit du nord subsidiary, banque nuger, for more than 40 years. this bank has provided me with effective support both privately and professionally. it is a little more expensive than the other fees and in recent years there has been a lot of turnover of advisers, with loss of customer history. it is for these reasons that i have downgraded the recommendation score for this bank, which has been working locally for decades.",Vague 2021,positive,2
73,28,Italy,7.0,ubibanca excellent services and advice,Vague 2021,neutral,1
74,55,France,7.0,can do better,Vague 2021,neutral,1
75,37,France,7.0,they are good but too expensive,Vague 2021,neutral,1
76,55,France,8.0,"cofidis is a serious and transparent company on fees, good communication",Vague 2021,neutral,1
77,62,Italy,9.0,seriousness,Vague 2021,positive,2
78,30,France,8.0,trust,Vague 2021,neutral,1
79,60,Italy,7.0,a serious company,Vague 2021,neutral,1
80,52,France,5.0,this is normal credit,Vague 2021,negative,0
81,49,Italy,8.0,i was able to make the loan without presenting other documents as a current account holder,Vague 2021,neutral,1
82,50,France,10.0,"i have had my accounts, insurance, loans with them for more than 30 years and are always satisfied",Vague 2021,positive,2
83,66,France,8.0,i never had any problem,Vague 2021,neutral,1
84,45,France,8.0,trust and loyalty,Vague 2021,neutral,1
85,58,Italy,10.0,i have been interacting with them for years and i am very happy with them,Vague 2021,positive,2
86,69,France,0.0,the rates are enormous and the revolving system is a scam and moreover it is the large groups that give you discounts if you take out credit,Vague 2021,negative,0
87,27,Italy,8.0,i found myself very well. clear and easy to understand clauses,Vague 2021,neutral,1
88,38,Italy,7.0,,Vague 2021,neutral,1
89,55,France,8.0,"speed of file processing, accessible and available staff",Vague 2021,neutral,1
90,45,France,8.0,"easy, good offer",Vague 2021,neutral,1
91,70,Italy,9.0,coediality and availability,Vague 2021,positive,2
92,52,France,6.0,they are long to create files and they are contradictory,Vague 2021,negative,0
93,34,Italy,9.0,i like,Vague 2021,positive,2
94,42,France,7.0,easy credit payment in installments,Vague 2021,neutral,1
95,33,France,5.0,interest is way too high,Vague 2021,negative,0
96,52,France,8.0,it could get better,Vague 2021,neutral,1
97,43,France,7.0,the credit is in progress but we have no connection with anyone tonight,Vague 2021,neutral,1
98,57,Italy,7.0,i do not know,Vague 2021,neutral,1
99,49,France,10.0,quick and easy interest,Vague 2021,positive,2
100,37,France,8.0,"it's a pretty good bank, no problem",Vague 2021,neutral,1
101,49,Italy,10.0,,Vague 2021,positive,2
102,51,Italy,8.0,excellent bank,Vague 2021,neutral,1
103,66,Italy,9.0,"request accepted quickly and very advantageous rates, very helpful, kind and competent staff.",Vague 2021,positive,2
104,46,Italy,9.0,the speed in working the dossier and in disbursing the loan at the time requested.,Vague 2021,positive,2
105,36,Italy,6.0,i had a good time,Vague 2021,negative,0
106,34,Italy,3.0,because it is a loan that i have received for more than 10 years and since i have found myself in a difficult period i am now paying interest on the interest because the amount of the credit has been discounted for some time,Vague 2021,negative,0
107,33,Italy,9.0,they gave me a loan quite easily and i have to pay little interest,Vague 2021,positive,2
108,68,France,2.0,not giving all loan information.,Vague 2021,negative,0
109,59,Italy,8.0,i am happy with this bank,Vague 2021,neutral,1
110,54,Italy,9.0,speed and transparency,Vague 2021,positive,2
111,22,Italy,9.0,excellent service,Vague 2021,positive,2
112,45,France,2.0,"they were extremely bad. everything is going well but you don't have to ask them anything. a simple change of rib was impossible to do. i changed banks and because of this credit at younited, i had to keep my old account open (with associated fees) for several months. in the end i repaid early",Vague 2021,negative,0
113,31,France,5.0,high fees,Vague 2021,negative,0
114,45,France,9.0,"efficient, attentive and competent",Vague 2021,positive,2
115,56,France,10.0,make it easier to get credit,Vague 2021,positive,2
116,40,France,5.0,attention credit granted too easily but with extremely expensive interest rates that means that you hardly repay anything each month because of interest,Vague 2021,negative,0
117,34,France,9.0,clear and available explanations in case of questions,Vague 2021,positive,2
118,49,France,7.0,it is an organization like the others that does not particularly stand out,Vague 2021,neutral,1
119,40,Italy,6.0,in line with expectations,Vague 2021,negative,0
120,52,France,8.0,"serious, reliable, responsible, attentive",Vague 2021,neutral,1
121,43,Italy,9.0,"it is a solid, traditional and reputable bank",Vague 2021,positive,2
122,31,Italy,8.0,"is a valid, widespread and reliable credit institution",Vague 2021,neutral,1
123,46,France,8.0,it's easy to buy products and pay for them in installments,Vague 2021,neutral,1
124,26,Italy,8.0,i have found myself very well throughout the life of the credit,Vague 2021,neutral,1
125,58,France,9.0,no problem with them,Vague 2021,positive,2
126,50,France,8.0,for the speed and seriousness of the assembly,Vague 2021,neutral,1
127,45,Italy,7.0,i feel good is serious and reliable,Vague 2021,neutral,1
128,51,Italy,1.0,too many interests,Vague 2021,negative,0
129,53,Italy,8.0,fast practices and delivery of fast money,Vague 2021,neutral,1
130,30,France,9.0,it's my bank,Vague 2021,positive,2
131,41,Italy,8.0,i've always had a good experience,Vague 2021,neutral,1
132,42,Italy,7.0,i'm not hurt but it is always a credit institute,Vague 2021,neutral,1
133,64,Italy,7.0,a little slow to carry out the evaluation process,Vague 2021,neutral,1
134,64,Italy,7.0,good service,Vague 2021,neutral,1
135,31,France,9.0,because i never had pb,Vague 2021,positive,2
136,41,Italy,9.0,excellent relationship with customers,Vague 2021,positive,2
137,59,France,8.0,to do work,Vague 2021,neutral,1
138,54,France,6.0,this is my bank,Vague 2021,negative,0
139,40,France,8.0,availability efficiency,Vague 2021,neutral,1
140,37,Italy,7.0,excellent always comes against,Vague 2021,neutral,1
141,33,France,8.0,"nice, quick response",Vague 2021,neutral,1
142,56,Italy,5.0,sxczx fbhdf,Vague 2021,negative,0
143,65,France,9.0,very good welcome from providers,Vague 2021,positive,2
144,71,France,5.0,difficulties getting answers,Vague 2021,negative,0
145,33,France,8.0,interesting 4 years ago,Vague 2021,neutral,1
146,28,Italy,5.0,there are better things,Vague 2021,negative,0
147,34,France,6.0,banks are all the same,Vague 2021,negative,0
148,64,Italy,7.0,relevant interests,Vague 2021,neutral,1
149,58,France,5.0,everyone does what he wants,Vague 2021,negative,0
150,43,France,6.0,nobody to receive me for an urgent credit request to buy a car at the agency. i am told to go by phone that it will go faster and the person sends me on the roses. so decided to go back to the agency and they found me someone to start then i went home and sent him the missing documents by email and called me back at the end of the day and still waiting for the answer,Vague 2021,negative,0
151,30,France,8.0,satisfied,Vague 2021,neutral,1
152,27,France,10.0,"because i am completely satisfied whether it is for the offer, the efficiency, the respect, the listening, the follow-up and the management.",Vague 2021,positive,2
153,30,France,7.0,,Vague 2021,neutral,1
154,31,France,8.0,it's a good bank without more,Vague 2021,neutral,1
155,63,France,5.0,"it's quite exceptional, a reimbursement offer in 4 x free of charge, so i didn't even hesitate but it's not in my habits and i don't recommend this type of financing....",Vague 2021,negative,0
156,53,France,6.0,a little expensive as credit but for the rest it is very flexible,Vague 2021,negative,0
157,26,Italy,3.0,"rude arrogant loan sharks sons of shit intrusive and spam advertising without asking, i wish them a tumor to the whole family tree present past and future",Vague 2021,negative,0
158,56,Italy,10.0,"excellent value, good times and characteristics",Vague 2021,positive,2
159,23,Italy,9.0,because they usually have zero interest,Vague 2021,positive,2
160,59,France,9.0,know-how trust responsiveness,Vague 2021,positive,2
161,79,France,9.0,lowest rates on the market. early repayment facility.,Vague 2021,positive,2
162,70,France,8.0,satisfied,Vague 2021,neutral,1
164,43,Italy,7.0,reliable bank,Vague 2021,neutral,1
165,51,Italy,5.0,the timing,Vague 2021,negative,0
166,56,Italy,8.0,i am fine,Vague 2021,neutral,1
167,61,Italy,7.0,it is reliable,Vague 2021,neutral,1
168,37,Italy,7.0,i do not know,Vague 2021,neutral,1
170,42,France,5.0,their interest rate is very high,Vague 2021,negative,0
171,34,Italy,7.0,a bunch,Vague 2021,neutral,1
172,26,France,9.0,they accepted my loan,Vague 2021,positive,2
173,30,Italy,8.0,is better,Vague 2021,neutral,1
174,65,Italy,9.0,quickly authorized credit with a large amount and zero interest,Vague 2021,positive,2
175,45,France,10.0,"low rate, reliable organization that meets my expectations",Vague 2021,positive,2
176,34,Italy,8.0,well,Vague 2021,neutral,1
177,48,France,8.0,very customer service,Vague 2021,neutral,1
178,34,Italy,8.0,excellent service and quality,Vague 2021,neutral,1
179,43,France,6.0,correct,Vague 2021,negative,0
180,53,France,6.0,r.a.s.,Vague 2021,negative,0
181,71,Italy,6.0,very serious in their work,Vague 2021,negative,0
182,62,Italy,8.0,experience,Vague 2021,neutral,1
183,23,Italy,9.0,installment offered,Vague 2021,positive,2
184,41,Italy,5.0,i asked for it and they gave it to me,Vague 2021,negative,0
185,71,France,8.0,"bank close to my home, easy to access and competent staff",Vague 2021,neutral,1
186,28,Italy,8.0,fast and competent,Vague 2021,neutral,1
187,36,France,7.0,practice,Vague 2021,neutral,1
188,43,France,5.0,ras,Vague 2021,negative,0
189,33,France,8.0,carefree,Vague 2021,neutral,1
190,39,France,6.0,it's simple and not too expensive,Vague 2021,negative,0
191,56,Italy,10.0,ease of access to credit and conditions,Vague 2021,positive,2
192,55,France,7.0,in,Vague 2021,neutral,1
193,41,France,6.0,,Vague 2021,negative,0
194,35,Italy,6.0,"the returned interests, despite they were between the lowest, were really excessive",Vague 2021,negative,0
195,71,France,9.0,"welcome, professionalism, advice",Vague 2021,positive,2
196,42,France,0.0,"when you have cash flow worries, the language becomes unpleasant or even violent.",Vague 2021,negative,0
197,46,Italy,6.0,well,Vague 2021,negative,0
198,56,France,8.0,bank listens to its customers,Vague 2021,neutral,1
199,37,France,10.0,vnbvnvbvvjhvbjgcgfxd,Vague 2021,positive,2
200,46,France,7.0,present throughout the territory,Vague 2021,neutral,1
201,44,Italy,6.0,xx,Vague 2021,negative,0
202,43,France,5.0,always too high interest rates,Vague 2021,negative,0
203,50,France,9.0,low rate and easily granted loan,Vague 2021,positive,2
204,32,Italy,9.0,seriousness,Vague 2021,positive,2
205,68,France,7.0,discount on the insurance premium,Vague 2021,neutral,1
206,68,France,9.0,"efficiency, understanding, welcome",Vague 2021,positive,2
207,35,France,8.0,very good responsive customer service,Vague 2021,neutral,1
208,38,Italy,6.0,no one in particular,Vague 2021,negative,0
209,53,France,5.0,i do not know,Vague 2021,negative,0
210,32,France,5.0,the rate is huge,Vague 2021,negative,0
211,46,France,5.0,like the others,Vague 2021,negative,0
212,74,France,10.0,the interest rate and the facility,Vague 2021,positive,2
213,49,Italy,9.0,i have been happy for many years,Vague 2021,positive,2
214,51,France,9.0,"he's the only one who accepted, he's simple, fast and efficient, i can change a collection date or postpone it. and since i pay it no worries",Vague 2021,positive,2
215,33,Italy,8.0,personal experience,Vague 2021,neutral,1
216,49,France,5.0,neither satisfied nor dissatisfied,Vague 2021,negative,0
217,36,Italy,0.0,too many interests,Vague 2021,negative,0
218,40,Italy,5.0,"difficulty in contacting them, at the beginning of the stipulation there was a part of the policy that was not clear",Vague 2021,negative,0
219,40,France,8.0,customer service is efficient,Vague 2021,neutral,1
220,60,France,9.0,practice,Vague 2021,positive,2
221,62,France,9.0,credit granted by my bank cheaper than other organizations. money quickly released at the rate of my needs monthly payments negotiated with an advisor,Vague 2021,positive,2
222,42,Italy,6.0,"not bad, come on. almost human",Vague 2021,negative,0
223,23,Italy,9.0,it is a serious and reliable service,Vague 2021,positive,2
224,30,Italy,10.0,"affordable rate, no hidden costs",Vague 2021,positive,2
225,43,France,7.0,very fast and good information for buying a car,Vague 2021,neutral,1
226,64,Italy,10.0,good and competent,Vague 2021,positive,2
227,45,France,6.0,average customer service and average service,Vague 2021,negative,0
228,34,Italy,7.0,,Vague 2021,neutral,1
229,76,France,8.0,"simplicity, low interest rate, responsiveness",Vague 2021,neutral,1
230,50,Italy,7.0,serious business,Vague 2021,neutral,1
231,56,France,5.0,"consumer credit granted quite easily, perhaps too often.",Vague 2021,negative,0
232,53,France,7.0,fast serious,Vague 2021,neutral,1
233,61,France,8.0,no problem,Vague 2021,neutral,1
234,52,Italy,6.0,services in the norm,Vague 2021,negative,0
235,69,Italy,6.0,an excellent institute,Vague 2021,negative,0
236,59,France,9.0,serious efficiency rigor of account management ease of management and very good relationship,Vague 2021,positive,2
237,55,Italy,9.0,i had no problems,Vague 2021,positive,2
238,70,France,9.0,they give a timeline. they keep regularly informed of the progress of the credit they respect the date of direct debit (within 1 or 2 days),Vague 2021,positive,2
239,55,Italy,7.0,discreet,Vague 2021,neutral,1
240,41,Italy,8.0,great bank,Vague 2021,neutral,1
241,64,France,10.0,the speed of processing my request,Vague 2021,positive,2
242,57,France,10.0,in,Vague 2021,positive,2
243,39,France,5.0,high borrowing rate,Vague 2021,negative,0
244,64,France,7.0,quite flexible but rate a little high,Vague 2021,neutral,1
245,61,France,7.0,i never recommend a brand or organization,Vague 2021,neutral,1
246,34,France,9.0,a bank that follows projects even with the smallest budgets,Vague 2021,positive,2
247,57,France,8.0,fast and efficient over the phone,Vague 2021,neutral,1
248,48,Italy,8.0,speed and safety,Vague 2021,neutral,1
249,72,Italy,9.0,quick to give the file and credit the loan,Vague 2021,positive,2
250,40,Italy,9.0,it's very convenient i buy what i need in installments and zero interest rates without making a practice every time,Vague 2021,positive,2
251,47,France,10.0,loan facility,Vague 2021,positive,2
252,58,France,9.0,no problems encountered,Vague 2021,positive,2
253,24,Italy,7.0,meets all needs good staff good services,Vague 2021,neutral,1
254,41,France,8.0,practice,Vague 2021,neutral,1
255,41,France,9.0,listening to its customers,Vague 2021,positive,2
256,34,Italy,5.0,it helped me keep going,Vague 2021,negative,0
257,57,Italy,5.0,rates too high,Vague 2021,negative,0
258,63,Italy,5.0,reliability,Vague 2021,negative,0
259,52,France,9.0,no problem with,Vague 2021,positive,2
260,57,France,8.0,it is a serious and clear organization,Vague 2021,neutral,1
261,60,France,6.0,because it's my bank and i haven't been to see elsewhere because they all look the same,Vague 2021,negative,0
262,54,Italy,7.0,good value for money,Vague 2021,neutral,1
263,75,France,9.0,i have always been satisfied with this organization,Vague 2021,positive,2
264,47,France,9.0,very good customer service,Vague 2021,positive,2
265,54,Italy,5.0,because i am unable to recommend anything to anyone,Vague 2021,negative,0
266,70,France,10.0,no problem at opening and during credit,Vague 2021,positive,2
267,50,Italy,7.0,medium / high rates,Vague 2021,neutral,1
268,56,France,8.0,quick practice for everyone,Vague 2021,neutral,1
269,40,France,9.0,very serious,Vague 2021,positive,2
270,21,Italy,9.0,because it is reliable and safe,Vague 2021,positive,2
271,64,Italy,10.0,"speed in dispensing, precision",Vague 2021,positive,2
272,49,Italy,5.0,high interest rates,Vague 2021,negative,0
273,60,France,10.0,very satisfied with my bank,Vague 2021,positive,2
274,54,Italy,8.0,reliable bank,Vague 2021,neutral,1
275,59,France,10.0,like that,Vague 2021,positive,2
276,75,France,7.0,"no big complaints except an ""illegible"" loan contract for a non-lawyer individual",Vague 2021,neutral,1
277,70,France,3.0,i don't have the opportunity to talk about this subject,Vague 2021,negative,0
278,64,Italy,8.0,correctness,Vague 2021,neutral,1
279,66,France,7.0,"because i have never encountered any problems with oney, i always have a contact on the phone if necessary, competent and friendly, their site is very well done i only use their services for purchases with a 0% rate credit",Vague 2021,neutral,1
280,56,Italy,9.0,reliable bank with fair rates,Vague 2021,positive,2
281,61,Italy,7.0,"subsidized rate, traceability",Vague 2021,neutral,1
282,50,Italy,6.0,they are all the same,Vague 2021,negative,0
283,67,France,8.0,"diversity of products, number of branches, bank at your service",Vague 2021,neutral,1
284,44,France,8.0,interesting rate,Vague 2021,neutral,1
285,39,France,7.0,"nothing to report, no problem",Vague 2021,neutral,1
286,31,France,7.0,credit facility,Vague 2021,neutral,1
287,53,France,7.0,very good bank loyal to its customers,Vague 2021,neutral,1
288,54,France,8.0,long partnership,Vague 2021,neutral,1
289,32,Italy,9.0,"fast and efficient, you can do everything online without going to the branch",Vague 2021,positive,2
290,48,France,7.0,serious bank,Vague 2021,neutral,1
291,47,Italy,6.0,they facilitate loans but better not ask for them because then there is interest,Vague 2021,negative,0
292,39,Italy,9.0,excellent,Vague 2021,positive,2
293,31,France,8.0,it is a very good bank with very interesting rates,Vague 2021,neutral,1
294,30,Italy,6.0,good,Vague 2021,negative,0
295,49,Italy,8.0,good,Vague 2021,neutral,1
296,81,Italy,6.0,nothing like that,Vague 2021,negative,0
297,44,France,10.0,listening and advice,Vague 2021,positive,2
298,72,France,8.0,easy and payable in 4 instalments,Vague 2021,neutral,1
299,41,France,7.0,i think it's a lending organization bin but i had no choice it's the store where i bought my property who did the financing and the loan request. i find interest rates high,Vague 2021,neutral,1
300,41,Italy,7.0,"practical, fast",Vague 2021,neutral,1
301,31,Italy,7.0,quick and lean procedure,Vague 2021,neutral,1
302,58,Italy,9.0,solid bank,Vague 2021,positive,2
303,34,Italy,5.0,i'm not very convinced,Vague 2021,negative,0
304,33,France,9.0,"the rate is very advantageous, and the customer service very satisfactory.",Vague 2021,positive,2
305,52,France,1.0,very high interest rayx,Vague 2021,negative,0
306,42,France,3.0,advisors are very hard to reach by phone.,Vague 2021,negative,0
307,39,France,9.0,price,Vague 2021,positive,2
308,32,France,4.0,ghgfh,Vague 2021,negative,0
309,72,France,7.0,"bjr, loan granted quite easily given my age and my income",Vague 2021,neutral,1
310,36,France,9.0,good communication skills,Vague 2021,positive,2
311,38,Italy,8.0,"treatment ok, you can always do better so 8 not 10",Vague 2021,neutral,1
313,63,France,8.0,practice ; associated with an extended warranty,Vague 2021,neutral,1
314,38,France,4.0,expensive,Vague 2021,negative,0
315,36,France,9.0,i like,Vague 2021,positive,2
316,53,France,8.0,customer for years without worries,Vague 2021,neutral,1
318,70,France,8.0,because we were happy to have informed us well,Vague 2021,neutral,1
319,27,Italy,8.0,egagdf,Vague 2021,neutral,1
320,41,France,7.0,professional,Vague 2021,neutral,1
321,63,France,4.0,expensive refund,Vague 2021,negative,0
322,68,Italy,4.0,excessive costs,Vague 2021,negative,0
323,51,France,2.0,"no answers to questions, constantly changing advisors, no one knows the clients at the agency, no consideration of possible problems or specific client needs",Vague 2021,negative,0
324,38,Italy,6.0,it is quite expensive,Vague 2021,negative,0
325,43,France,8.0,they are professional,Vague 2021,neutral,1
326,34,Italy,9.0,excellent rates and affordability,Vague 2021,positive,2
327,56,France,8.0,"in case of problems, i explain the situation to them and i have a solution.",Vague 2021,neutral,1
328,74,France,10.0,"having a carrefour hypermarket less than 3 km from my home for most of my food shopping and a carrefour market less than 600 meters away or i can walk for a little extra in the city center (pontault-combault), this card is valid in all the brands of the group in france and allows me to accumulate my discounts in each one. in addition, for my large purchases, type full of domestic fuel oil or large household appliances, i can pay in three instalments free of charge.",Vague 2021,positive,2
329,72,France,9.0,"i get on well with my adviser: he sees me quickly, he listens, he answers me on the phone",Vague 2021,positive,2
330,42,France,3.0,interest rate too high,Vague 2021,negative,0
331,55,Italy,4.0,unprepared staff,Vague 2021,negative,0
332,57,France,8.0,"good organization but on the internet account side it's zero no way to connect, the complexity of the thing we have to send you an sms to unlock the account, the problem is that you have never communicated your telephone number, pite by postal voice the identification numbers are not valid.",Vague 2021,neutral,1
333,51,Italy,8.0,convenient interest calculation,Vague 2021,neutral,1
334,42,France,9.0,"easy, clear subscription",Vague 2021,positive,2
335,53,France,8.0,no problem,Vague 2021,neutral,1
336,59,Italy,8.0,it is efficient and available,Vague 2021,neutral,1
337,53,France,9.0,very good relationship with the client,Vague 2021,positive,2
338,42,Italy,6.0,easy booking but too high commissions,Vague 2021,negative,0
339,35,France,6.0,"very high interest rate i find. it's the first time i go through this organization, so i don't feel particularly close to it.",Vague 2021,negative,0
340,50,Italy,7.0,i was fine,Vague 2021,neutral,1
341,35,Italy,8.0,because for now i was fine,Vague 2021,neutral,1
342,50,France,8.0,access to credit was simple and quick and made according to our financial means,Vague 2021,neutral,1
343,47,France,10.0,better rate than a bank,Vague 2021,positive,2
344,29,Italy,7.0,they force you to activate a card for funding,Vague 2021,neutral,1
345,55,France,6.0,very satisfied,Vague 2021,negative,0
346,42,France,1.0,ger,Vague 2021,negative,0
347,71,Italy,5.0,in reality it is 5 k that i am returning for the car purchase .. i pay my installments but it is not that there is a particular relationship,Vague 2021,negative,0
348,38,Italy,10.0,i got along very well with this financial one.,Vague 2021,positive,2
349,34,France,9.0,good bank,Vague 2021,positive,2
350,57,France,7.0,we have been loyal to the savings bank for more than 30 years and never have any problems,Vague 2021,neutral,1
351,29,Italy,8.0,one of a kind,Vague 2021,neutral,1
352,63,France,9.0,nothing to say. i have at my disposal 1 revolving credit going up to 3000e to use when i need it. currently i have finished repaying 1 credit of 600e.,Vague 2021,positive,2
353,48,Italy,5.0,in,Vague 2021,negative,0
354,48,Italy,7.0,i trust,Vague 2021,neutral,1
355,55,France,5.0,days,Vague 2021,negative,0
356,49,France,7.0,simple and efficient,Vague 2021,neutral,1
357,40,Italy,6.0,solidity of the bank and cost of services,Vague 2021,negative,0
358,23,Italy,7.0,ghh i have not had anymore,Vague 2021,neutral,1
359,33,Italy,7.0,the right interests,Vague 2021,neutral,1
360,51,France,10.0,very good bank without worries,Vague 2021,positive,2
361,70,France,10.0,easy-to-assemble file adviser attentive to my needs and projects personalized reimbursement,Vague 2021,positive,2
362,60,Italy,9.0,i have been a customer for many years and i feel good about it,Vague 2021,positive,2
363,44,France,7.0,quality advice,Vague 2021,neutral,1
364,33,France,6.0,because i have confidence in lcl but i think it can improve,Vague 2021,negative,0
365,56,Italy,5.0,if it were up to me i wouldn't make credits,Vague 2021,negative,0
366,25,Italy,7.0,all ok good rate a little difficult communication,Vague 2021,neutral,1
367,39,France,7.0,because it is very useful,Vague 2021,neutral,1
368,29,France,7.0,it is convenient,Vague 2021,neutral,1
369,44,Italy,9.0,clear information,Vague 2021,positive,2
370,65,France,9.0,very serious lending organization. interesting rate,Vague 2021,positive,2
371,53,Italy,5.0,discreet ease in dispensing,Vague 2021,negative,0
373,20,Italy,5.0,from,Vague 2021,negative,0
374,46,France,5.0,too much interest,Vague 2021,negative,0
375,57,France,5.0,i am disappointed with the relationship i have had with them,Vague 2021,negative,0
376,68,France,6.0,always too expensive,Vague 2021,negative,0
377,51,Italy,7.0,trust and responsibility of the bank,Vague 2021,neutral,1
378,45,Italy,8.0,i feel good,Vague 2021,neutral,1
379,65,France,9.0,customer since 1977,Vague 2021,positive,2
380,37,Italy,6.0,good morning,Vague 2021,negative,0
381,71,Italy,8.0,they are efficient,Vague 2021,neutral,1
382,58,Italy,10.0,innovative,Vague 2021,positive,2
383,65,France,8.0,"simplicity, rate",Vague 2021,neutral,1
384,37,Italy,9.0,reliability,Vague 2021,positive,2
385,30,France,5.0,account in the red,Vague 2021,negative,0
386,48,Italy,9.0,i feel good,Vague 2021,positive,2
387,40,Italy,8.0,great website,Vague 2021,neutral,1
388,60,Italy,7.0,they are serious and measured in communication,Vague 2021,neutral,1
