,age,Country,A1,A2_translation,vague
52138,36,Italy,10.0,Sure punctual corrertti,Vague 2021
52139,49,France,8.0,serious,Vague 2021
52140,34,Italy,8.0,I feel good,Vague 2021
52141,41,France,6.0,expensive,Vague 2021
52142,31,Italy,8.0,understanding the dynamics,Vague 2021
52143,65,Italy,5.0,very expensive,Vague 2021
52144,73,France,8.0,"I have been there since 1970, and I have not been disappointed",Vague 2021
52145,70,France,10.0,"Competitive, fast",Vague 2021
52146,46,France,10.0,Reliable organization with not excessive fees,Vague 2021
52147,37,France,7.0,Practice,Vague 2021
52148,66,Italy,7.0,Speed and few bureaucratic aspects to evaluate,Vague 2021
52149,29,Italy,9.0,Acceptable interests,Vague 2021
52150,61,France,8.0,"Card issued by galeries lafayette which I have had for a very long time, it allows me to pay in 3 installments free of charge which suits me for parties or sales",Vague 2021
52151,41,Italy,5.0,this is the first time I use it,Vague 2021
52152,59,France,8.0,I've bought several cars with this organization and I'm satisfied with them.,Vague 2021
52153,62,Italy,9.0,Speed clarity,Vague 2021
52154,48,France,8.0,for speed,Vague 2021
52155,53,France,8.0,Efficient and fast,Vague 2021
52156,53,Italy,6.0,It's my bank,Vague 2021
52157,33,Italy,10.0,"Simplicity, speed",Vague 2021
52158,40,France,5.0,I DONT KNOW,Vague 2021
52159,35,France,5.0,Any,Vague 2021
52160,49,France,8.0,globally satisfied with the deadlines and terms,Vague 2021
52161,53,Italy,8.0,"I am fine, capable and professional",Vague 2021
52162,52,France,9.0,"Skills, attractiveness of the rate, speed in the realization of the file",Vague 2021
52163,55,France,5.0,for wealthy clients,Vague 2021
52164,74,France,9.0,Very interesting promotional rate. Ease of setting up the file.,Vague 2021
52165,36,Italy,9.0,I had no problems with subscription or installment payments. I received assistance when requested and the conditions of the loan were transparent and without surprises,Vague 2021
52166,64,France,8.0,No worries everything is clear and correct,Vague 2021
52167,65,France,9.0,"I have been a customer of a local Cr̩dit du Nord subsidiary, Banque Nuger, for more than 40 years. This bank has provided me with effective support both privately and professionally. It is a little more expensive than the other fees and in recent years there has been a lot of turnover of advisers, with loss of customer history. It is for these reasons that I have downgraded the recommendation score for this bank, which has been working locally for decades.",Vague 2021
52168,28,Italy,7.0,Ubibanca excellent services and advice,Vague 2021
52169,55,France,7.0,can do better,Vague 2021
52170,37,France,7.0,They are good but too expensive,Vague 2021
52171,55,France,8.0,"Cofidis is a serious and transparent company on fees, good communication",Vague 2021
52172,62,Italy,9.0,Seriousness,Vague 2021
52173,30,France,8.0,Trust,Vague 2021
52174,60,Italy,7.0,A serious company,Vague 2021
52175,52,France,5.0,This is normal credit,Vague 2021
52176,49,Italy,8.0,I was able to make the loan without presenting other documents as a current account holder,Vague 2021
52177,50,France,10.0,"I have had my accounts, insurance, loans with them for more than 30 years and are always satisfied",Vague 2021
52178,66,France,8.0,I never had any problem,Vague 2021
52179,45,France,8.0,trust and loyalty,Vague 2021
52180,58,Italy,10.0,I have been interacting with them for years and I am very happy with them,Vague 2021
52181,69,France,0.0,the rates are enormous and the revolving system is a scam and moreover it is the large groups that give you discounts if you take out credit,Vague 2021
52182,27,Italy,8.0,I found myself very well. Clear and easy to understand clauses,Vague 2021
52183,38,Italy,7.0,Xxxx,Vague 2021
52184,55,France,8.0,"Speed of file processing, accessible and available staff",Vague 2021
52185,45,France,8.0,"easy, good offer",Vague 2021
52186,70,Italy,9.0,Coediality and availability,Vague 2021
52187,52,France,6.0,They are long to create files and they are contradictory,Vague 2021
52188,34,Italy,9.0,I like,Vague 2021
52189,42,France,7.0,Easy credit Payment in installments,Vague 2021
52190,33,France,5.0,Interest is way too high,Vague 2021
52191,52,France,8.0,It could get better,Vague 2021
52192,43,France,7.0,The credit is in progress but we have no connection with anyone tonight,Vague 2021
52193,57,Italy,7.0,I do not know,Vague 2021
52194,49,France,10.0,quick and easy interest,Vague 2021
52195,37,France,8.0,"It's a pretty good bank, no problem",Vague 2021
52196,49,Italy,10.0,nnn,Vague 2021
52197,51,Italy,8.0,excellent bank,Vague 2021
52198,66,Italy,9.0,"request accepted quickly and very advantageous rates, very helpful, kind and competent staff.",Vague 2021
52199,46,Italy,9.0,The speed in working the dossier and in disbursing the loan at the time requested.,Vague 2021
52200,36,Italy,6.0,I had a good time,Vague 2021
52201,34,Italy,3.0,Because it is a loan that I have received for more than 10 years and since I have found myself in a difficult period I am now paying interest on the interest because the amount of the credit has been discounted for some time,Vague 2021
52202,33,Italy,9.0,They gave me a loan quite easily and I have to pay little interest,Vague 2021
52203,68,France,2.0,Not giving all loan information.,Vague 2021
52204,59,Italy,8.0,I am happy with this bank,Vague 2021
52205,54,Italy,9.0,Speed and transparency,Vague 2021
52206,22,Italy,9.0,Excellent service,Vague 2021
52207,45,France,2.0,"They were extremely bad. Everything is going well but you don't have to ask them anything. A simple change of RIB was impossible to do. I changed banks and because of this credit at Younited, I had to keep my old account open (with associated fees) for several months. In the end I repaid early",Vague 2021
52208,31,France,5.0,High fees,Vague 2021
52209,45,France,9.0,"Efficient, attentive and competent",Vague 2021
52210,56,France,10.0,make it easier to get credit,Vague 2021
52211,40,France,5.0,Attention credit granted too easily but with extremely expensive interest rates that means that you hardly repay anything each month because of interest,Vague 2021
52212,34,France,9.0,Clear and available explanations in case of questions,Vague 2021
52213,49,France,7.0,It is an organization like the others that does not particularly stand out,Vague 2021
52214,40,Italy,6.0,In line with expectations,Vague 2021
52215,52,France,8.0,"serious, reliable, responsible, attentive",Vague 2021
52216,43,Italy,9.0,"it is a solid, traditional and reputable bank",Vague 2021
52217,31,Italy,8.0,"is a valid, widespread and reliable credit institution",Vague 2021
52218,46,France,8.0,It's easy to buy products and pay for them in installments,Vague 2021
52219,26,Italy,8.0,I have found myself very well throughout the life of the credit,Vague 2021
52220,58,France,9.0,NO PROBLEM WITH THEM,Vague 2021
52221,50,France,8.0,For the speed and seriousness of the assembly,Vague 2021
52222,45,Italy,7.0,I feel good is serious and reliable,Vague 2021
52223,51,Italy,1.0,Too many interests,Vague 2021
52224,53,Italy,8.0,Fast practices and delivery of fast money,Vague 2021
52225,30,France,9.0,It's my bank,Vague 2021
52226,41,Italy,8.0,I've always had a good experience,Vague 2021
52227,42,Italy,7.0,I'M NOT HURT BUT IT IS ALWAYS A CREDIT INSTITUTE,Vague 2021
52228,64,Italy,7.0,a little slow to carry out the evaluation process,Vague 2021
52229,64,Italy,7.0,Good service,Vague 2021
52230,31,France,9.0,BECAUSE I NEVER HAD PB,Vague 2021
52231,41,Italy,9.0,Excellent relationship with customers,Vague 2021
52232,59,France,8.0,to do work,Vague 2021
52233,54,France,6.0,this is my bank,Vague 2021
52234,40,France,8.0,Availability efficiency,Vague 2021
52235,37,Italy,7.0,Excellent always comes against,Vague 2021
52236,33,France,8.0,"Nice, quick response",Vague 2021
52237,56,Italy,5.0,sxczx fbhdf,Vague 2021
52238,65,France,9.0,VERY GOOD WELCOME FROM PROVIDERS,Vague 2021
52239,71,France,5.0,Difficulties getting answers,Vague 2021
52240,33,France,8.0,Interesting 4 years ago,Vague 2021
52241,28,Italy,5.0,There are better things,Vague 2021
52242,34,France,6.0,banks are all the same,Vague 2021
52243,64,Italy,7.0,relevant interests,Vague 2021
52244,58,France,5.0,Everyone does what he wants,Vague 2021
52245,43,France,6.0,Nobody to receive me for an urgent credit request to buy a car at the agency. I am told to go by phone that it will go faster and the person sends me on the roses. So decided to go back to the agency and they found me someone to start then I went home and sent him the missing documents by email and called me back at the end of the day and still waiting for the answer,Vague 2021
52246,30,France,8.0,satisfied,Vague 2021
52247,27,France,10.0,"Because I am completely satisfied whether it is for the offer, the efficiency, the respect, the listening, the follow-up and the management.",Vague 2021
52248,30,France,7.0,Hh,Vague 2021
52249,31,France,8.0,it's a good bank without more,Vague 2021
52250,63,France,5.0,"It's quite exceptional, a reimbursement offer in 4 x free of charge, so I didn't even hesitate but it's not in my habits and I don't recommend this type of financing....",Vague 2021
52251,53,France,6.0,a little expensive as credit but for the rest it is very flexible,Vague 2021
52252,26,Italy,3.0,"rude arrogant loan sharks sons of shit intrusive and spam advertising without asking, I wish them a tumor to the whole family tree present past and future",Vague 2021
52253,56,Italy,10.0,"excellent value, good times and characteristics",Vague 2021
52254,23,Italy,9.0,because they usually have zero interest,Vague 2021
52255,59,France,9.0,Know-how Trust Responsiveness,Vague 2021
52256,79,France,9.0,Lowest rates on the market. Early repayment facility.,Vague 2021
52257,70,France,8.0,satisfied,Vague 2021
52258,73,France,9.0,,Vague 2021
52259,43,Italy,7.0,reliable bank,Vague 2021
52260,51,Italy,5.0,The timing,Vague 2021
52261,56,Italy,8.0,I am fine,Vague 2021
52262,61,Italy,7.0,it is reliable,Vague 2021
52263,37,Italy,7.0,I do not know,Vague 2021
52264,55,Italy,,We didn't have any problems and were looked after carefully,Vague 2021
52265,42,France,5.0,Their interest rate is very high,Vague 2021
52266,34,Italy,7.0,A bunch,Vague 2021
52267,26,France,9.0,They accepted my loan,Vague 2021
52268,30,Italy,8.0,Is better,Vague 2021
52269,65,Italy,9.0,Quickly authorized credit with a large amount and zero interest,Vague 2021
52270,45,France,10.0,"low rate, reliable organization that meets my expectations",Vague 2021
52271,34,Italy,8.0,well,Vague 2021
52272,48,France,8.0,VERY CUSTOMER SERVICE,Vague 2021
52273,34,Italy,8.0,Excellent service and quality,Vague 2021
52274,43,France,6.0,Correct,Vague 2021
52275,53,France,6.0,R.A.S.,Vague 2021
52276,71,Italy,6.0,VERY SERIOUS IN THEIR WORK,Vague 2021
52277,62,Italy,8.0,Experience,Vague 2021
52278,23,Italy,9.0,Installment offered,Vague 2021
52279,41,Italy,5.0,I asked for it and they gave it to me,Vague 2021
52280,71,France,8.0,"bank close to my home, easy to access and competent staff",Vague 2021
52281,28,Italy,8.0,fast and competent,Vague 2021
52282,36,France,7.0,practice,Vague 2021
52283,43,France,5.0,ras,Vague 2021
52284,33,France,8.0,Carefree,Vague 2021
52285,39,France,6.0,it's simple and not too expensive,Vague 2021
52286,56,Italy,10.0,Ease of access to credit and conditions,Vague 2021
52287,55,France,7.0,in,Vague 2021
52288,41,France,6.0,Yes,Vague 2021
52289,35,Italy,6.0,"THE RETURNED INTERESTS, DESPITE THEY WERE BETWEEN THE LOWEST, WERE REALLY EXCESSIVE",Vague 2021
52290,71,France,9.0,"Welcome, professionalism, advice",Vague 2021
52291,42,France,0.0,"When you have cash flow worries, the language becomes unpleasant or even violent.",Vague 2021
52292,46,Italy,6.0,well,Vague 2021
52293,56,France,8.0,bank listens to its customers,Vague 2021
52294,37,France,10.0,vnbvnvbvvjhvbjgcgfxd,Vague 2021
52295,46,France,7.0,present throughout the territory,Vague 2021
52296,44,Italy,6.0,xx,Vague 2021
52297,43,France,5.0,Always too high interest rates,Vague 2021
52298,50,France,9.0,Low rate and easily granted loan,Vague 2021
52299,32,Italy,9.0,Seriousness,Vague 2021
52300,68,France,7.0,Discount on the insurance premium,Vague 2021
52301,68,France,9.0,"Efficiency, understanding, welcome",Vague 2021
52302,35,France,8.0,Very good responsive customer service,Vague 2021
52303,38,Italy,6.0,no one in particular,Vague 2021
52304,53,France,5.0,I do not know,Vague 2021
52305,32,France,5.0,the rate is huge,Vague 2021
52306,46,France,5.0,like the others,Vague 2021
52307,74,France,10.0,the interest rate and the facility,Vague 2021
52308,49,Italy,9.0,I have been happy for many years,Vague 2021
52309,51,France,9.0,"he's the only one who accepted, he's simple, fast and efficient, I can change a collection date or postpone it. And since I pay it no worries",Vague 2021
52310,33,Italy,8.0,Personal experience,Vague 2021
52311,49,France,5.0,Neither satisfied nor dissatisfied,Vague 2021
52312,36,Italy,0.0,Too many interests,Vague 2021
52313,40,Italy,5.0,"Difficulty in contacting them, at the beginning of the stipulation there was a part of the policy that was not clear",Vague 2021
52314,40,France,8.0,Customer service is efficient,Vague 2021
52315,60,France,9.0,Practice,Vague 2021
52316,62,France,9.0,credit granted by my bank cheaper than other organizations. money quickly released at the rate of my needs monthly payments negotiated with an advisor,Vague 2021
52317,42,Italy,6.0,"not bad, come on. Almost human",Vague 2021
52318,23,Italy,9.0,It is a serious and reliable service,Vague 2021
52319,30,Italy,10.0,"affordable rate, no hidden costs",Vague 2021
52320,43,France,7.0,Very fast and good information for buying a car,Vague 2021
52321,64,Italy,10.0,good and competent,Vague 2021
52322,45,France,6.0,Average customer service and average service,Vague 2021
52323,34,Italy,7.0,none,Vague 2021
52324,76,France,8.0,"simplicity, low interest rate, responsiveness",Vague 2021
52325,50,Italy,7.0,serious business,Vague 2021
52326,56,France,5.0,"Consumer credit granted quite easily, perhaps too often.",Vague 2021
52327,53,France,7.0,fast serious,Vague 2021
52328,61,France,8.0,No problem,Vague 2021
52329,52,Italy,6.0,Services in the norm,Vague 2021
52330,69,Italy,6.0,an excellent institute,Vague 2021
52331,59,France,9.0,serious efficiency rigor of account management ease of management and very good relationship,Vague 2021
52332,55,Italy,9.0,I had no problems,Vague 2021
52333,70,France,9.0,They give a timeline. They keep regularly informed of the progress of the credit They respect the date of direct debit (within 1 or 2 days),Vague 2021
52334,55,Italy,7.0,Discreet,Vague 2021
52335,41,Italy,8.0,Great bank,Vague 2021
52336,64,France,10.0,the speed of processing my request,Vague 2021
52337,57,France,10.0,in,Vague 2021
52338,39,France,5.0,High borrowing rate,Vague 2021
52339,64,France,7.0,Quite flexible but rate a little high,Vague 2021
52340,61,France,7.0,I never recommend a brand or organization,Vague 2021
52341,34,France,9.0,A bank that follows projects even with the smallest budgets,Vague 2021
52342,57,France,8.0,fast and efficient over the phone,Vague 2021
52343,48,Italy,8.0,speed and safety,Vague 2021
52344,72,Italy,9.0,Quick to give the file and credit the loan,Vague 2021
52345,40,Italy,9.0,it's very convenient I buy what I need in installments and zero interest rates without making a practice every time,Vague 2021
52346,47,France,10.0,loan facility,Vague 2021
52347,58,France,9.0,no problems encountered,Vague 2021
52348,24,Italy,7.0,Meets all needs Good staff Good services,Vague 2021
52349,41,France,8.0,Practice,Vague 2021
52350,41,France,9.0,listening to its customers,Vague 2021
52351,34,Italy,5.0,it helped me keep going,Vague 2021
52352,57,Italy,5.0,Rates too high,Vague 2021
52353,63,Italy,5.0,reliability,Vague 2021
52354,52,France,9.0,no problem with,Vague 2021
52355,57,France,8.0,it is a serious and clear organization,Vague 2021
52356,60,France,6.0,Because it's my bank and I haven't been to see elsewhere because they all look the same,Vague 2021
52357,54,Italy,7.0,Good value for money,Vague 2021
52358,75,France,9.0,I have always been satisfied with this organization,Vague 2021
52359,47,France,9.0,Very good customer service,Vague 2021
52360,54,Italy,5.0,Because I am unable to recommend anything to anyone,Vague 2021
52361,70,France,10.0,no problem at opening and during credit,Vague 2021
52362,50,Italy,7.0,Medium / high rates,Vague 2021
52363,56,France,8.0,Quick practice for everyone,Vague 2021
52364,40,France,9.0,Very serious,Vague 2021
52365,21,Italy,9.0,Because it is reliable and safe,Vague 2021
52366,64,Italy,10.0,"Speed in dispensing, precision",Vague 2021
52367,49,Italy,5.0,high interest rates,Vague 2021
52368,60,France,10.0,Very satisfied with my bank,Vague 2021
52369,54,Italy,8.0,RELIABLE BANK,Vague 2021
52370,59,France,10.0,like that,Vague 2021
52371,75,France,7.0,"no big complaints except an ""illegible"" loan contract for a non-lawyer individual",Vague 2021
52372,70,France,3.0,I don't have the opportunity to talk about this subject,Vague 2021
52373,64,Italy,8.0,correctness,Vague 2021
52374,66,France,7.0,"Because I have never encountered any problems with Oney, I always have a contact on the phone if necessary, competent and friendly, their site is very well done I only use their services for purchases with a 0% rate credit",Vague 2021
52375,56,Italy,9.0,Reliable bank with fair rates,Vague 2021
52376,61,Italy,7.0,"subsidized rate, traceability",Vague 2021
52377,50,Italy,6.0,They are all the same,Vague 2021
52378,67,France,8.0,"Diversity of products, number of branches, bank at your service",Vague 2021
52379,44,France,8.0,Interesting rate,Vague 2021
52380,39,France,7.0,"Nothing to report, no problem",Vague 2021
52381,31,France,7.0,Credit facility,Vague 2021
52382,53,France,7.0,very good bank loyal to its customers,Vague 2021
52383,54,France,8.0,Long partnership,Vague 2021
52384,32,Italy,9.0,"fast and efficient, you can do everything online without going to the branch",Vague 2021
52385,48,France,7.0,serious bank,Vague 2021
52386,47,Italy,6.0,they facilitate loans but better not ask for them because then there is interest,Vague 2021
52387,39,Italy,9.0,Excellent,Vague 2021
52388,31,France,8.0,It is a very good bank with very interesting rates,Vague 2021
52389,30,Italy,6.0,Good,Vague 2021
52390,49,Italy,8.0,good,Vague 2021
52391,81,Italy,6.0,nothing like that,Vague 2021
52392,44,France,10.0,Listening and advice,Vague 2021
52393,72,France,8.0,easy and payable in 4 instalments,Vague 2021
52394,41,France,7.0,I think it's a lending organization bin but I had no choice it's the store where I bought my property who did the financing and the loan request. I find interest rates high,Vague 2021
52395,41,Italy,7.0,"practical, fast",Vague 2021
52396,31,Italy,7.0,quick and lean procedure,Vague 2021
52397,58,Italy,9.0,Solid bank,Vague 2021
52398,34,Italy,5.0,I'm not very convinced,Vague 2021
52399,33,France,9.0,"The rate is very advantageous, and the customer service very satisfactory.",Vague 2021
52400,52,France,1.0,very high interest rayx,Vague 2021
52401,42,France,3.0,Advisors are very hard to reach by phone.,Vague 2021
52402,39,France,9.0,price,Vague 2021
52403,32,France,4.0,ghgfh,Vague 2021
52404,72,France,7.0,"bjr, loan granted quite easily given my age and my income",Vague 2021
52405,36,France,9.0,Good communication skills,Vague 2021
52406,38,Italy,8.0,"treatment ok, you can always do better so 8 not 10",Vague 2021
52407,37,Italy,,Great customer service,Vague 2021
52408,63,France,8.0,practice ; associated with an extended warranty,Vague 2021
52409,38,France,4.0,expensive,Vague 2021
52410,36,France,9.0,I like,Vague 2021
52411,53,France,8.0,customer for years without worries,Vague 2021
52412,55,France,10.0,,Vague 2021
52413,70,France,8.0,Because we were happy to have informed us well,Vague 2021
52414,27,Italy,8.0,egagdf,Vague 2021
52415,41,France,7.0,Professional,Vague 2021
52416,63,France,4.0,expensive refund,Vague 2021
52417,68,Italy,4.0,Excessive costs,Vague 2021
52418,51,France,2.0,"no answers to questions, constantly changing advisors, no one knows the clients at the agency, no consideration of possible problems or specific client needs",Vague 2021
52419,38,Italy,6.0,it is quite expensive,Vague 2021
52420,43,France,8.0,They are professional,Vague 2021
52421,34,Italy,9.0,Excellent rates and affordability,Vague 2021
52422,56,France,8.0,"In case of problems, I explain the situation to them and I have a solution.",Vague 2021
52423,74,France,10.0,"Having a Carrefour Hypermarket less than 3 km from my home for most of my food shopping and a Carrefour Market less than 600 meters away or I can walk for a little extra in the city center (Pontault-Combault), this card is valid in all the brands of the group in France and allows me to accumulate my discounts in each one. In addition, for my large purchases, type full of domestic fuel oil or large household appliances, I can pay in three instalments free of charge.",Vague 2021
52424,72,France,9.0,"I get on well with my adviser: he sees me quickly, he listens, he answers me on the phone",Vague 2021
52425,42,France,3.0,Interest rate too high,Vague 2021
52426,55,Italy,4.0,unprepared staff,Vague 2021
52427,57,France,8.0,"Good organization but on the internet account side it's zero no way to connect, the complexity of the thing we have to send you an SMS to unlock the account, the problem is that you have never communicated your telephone number, pite by postal voice the identification numbers are not valid.",Vague 2021
52428,51,Italy,8.0,Convenient interest calculation,Vague 2021
52429,42,France,9.0,"easy, clear subscription",Vague 2021
52430,53,France,8.0,no problem,Vague 2021
52431,59,Italy,8.0,it is efficient and available,Vague 2021
52432,53,France,9.0,very good relationship with the client,Vague 2021
52433,42,Italy,6.0,Easy booking but too high commissions,Vague 2021
52434,35,France,6.0,"Very high interest rate I find. It's the first time I go through this organization, so I don't feel particularly close to it.",Vague 2021
52435,50,Italy,7.0,I was fine,Vague 2021
52436,35,Italy,8.0,Because for now I was fine,Vague 2021
52437,50,France,8.0,Access to credit was simple and quick and made according to our financial means,Vague 2021
52438,47,France,10.0,Better rate than a bank,Vague 2021
52439,29,Italy,7.0,They force you to activate a card for funding,Vague 2021
52440,55,France,6.0,very satisfied,Vague 2021
52441,42,France,1.0,Ger,Vague 2021
52442,71,Italy,5.0,in reality it is 5 k that I am returning for the car purchase .. I pay my installments but it is not that there is a particular relationship,Vague 2021
52443,38,Italy,10.0,I got along very well with this financial one.,Vague 2021
52444,34,France,9.0,good bank,Vague 2021
52445,57,France,7.0,We have been loyal to the savings bank for more than 30 years and never have any problems,Vague 2021
52446,29,Italy,8.0,one of a kind,Vague 2021
52447,63,France,9.0,nothing to say. I have at my disposal 1 revolving credit going up to 3000e to use when I need it. Currently I have finished repaying 1 credit of 600e.,Vague 2021
52448,48,Italy,5.0,in,Vague 2021
52449,48,Italy,7.0,I trust,Vague 2021
52450,55,France,5.0,Days,Vague 2021
52451,49,France,7.0,Simple and efficient,Vague 2021
52452,40,Italy,6.0,solidity of the bank and cost of services,Vague 2021
52453,23,Italy,7.0,Ghh I have not had anymore,Vague 2021
52454,33,Italy,7.0,The right interests,Vague 2021
52455,51,France,10.0,very good bank without worries,Vague 2021
52456,70,France,10.0,Easy-to-assemble file Adviser attentive to my needs and projects Personalized reimbursement,Vague 2021
52457,60,Italy,9.0,I have been a customer for many years and I feel good about it,Vague 2021
52458,44,France,7.0,quality advice,Vague 2021
52459,33,France,6.0,Because I have confidence in LcL but I think it can improve,Vague 2021
52460,56,Italy,5.0,If it were up to me I wouldn't make credits,Vague 2021
52461,25,Italy,7.0,All ok good rate a little difficult communication,Vague 2021
52462,39,France,7.0,Because it is very useful,Vague 2021
52463,29,France,7.0,It is convenient,Vague 2021
52464,44,Italy,9.0,Clear information,Vague 2021
52465,65,France,9.0,Very serious lending organization. Interesting rate,Vague 2021
52466,53,Italy,5.0,Discreet ease in dispensing,Vague 2021
52467,67,France,,personal reasons,Vague 2021
52468,20,Italy,5.0,from,Vague 2021
52469,46,France,5.0,too much interest,Vague 2021
52470,57,France,5.0,I am disappointed with the relationship I have had with them,Vague 2021
52471,68,France,6.0,ALWAYS TOO EXPENSIVE,Vague 2021
52472,51,Italy,7.0,trust and responsibility of the bank,Vague 2021
52473,45,Italy,8.0,I feel good,Vague 2021
52474,65,France,9.0,customer since 1977,Vague 2021
52475,37,Italy,6.0,good morning,Vague 2021
52476,71,Italy,8.0,They are efficient,Vague 2021
52477,58,Italy,10.0,Innovative,Vague 2021
52478,65,France,8.0,"simplicity, rate",Vague 2021
52479,37,Italy,9.0,Reliability,Vague 2021
52480,30,France,5.0,Account in the red,Vague 2021
52481,48,Italy,9.0,I feel good,Vague 2021
52482,40,Italy,8.0,Great website,Vague 2021
52483,60,Italy,7.0,They are serious and measured in communication,Vague 2021
52484,76,France,9.0,because I am happy with Carrefour Banque,Vague 2021
52485,57,France,10.0,THREE GOOD,Vague 2021
52486,60,France,9.0,he follows me and helps me a lot,Vague 2021
52487,51,Italy,10.0,They are serious,Vague 2021
52488,56,France,8.0,No problem,Vague 2021
52489,52,Italy,3.0,Tassi alti,Vague 2021
52490,61,France,7.0,Interesting rate,Vague 2021
52491,47,France,8.0,Because the subscription was simple the correct rate,Vague 2021
52492,36,France,5.0,I do not recommend anyone to take a loan. The counselors are not payers,Vague 2021
52493,23,Italy,7.0,because yes,Vague 2021
52494,30,Italy,7.0,great service to buy a product,Vague 2021
52495,57,France,9.0,"Speed, simplicity, very good rate",Vague 2021
52496,39,France,9.0,"The adviser guided us well, very well advised and is very available and attentive to our needs.",Vague 2021
52497,53,France,7.0,Few additional costs. Soft,Vague 2021
52498,39,Italy,9.0,Coupons,Vague 2021
52499,70,France,7.0,a credit is personal it only concerns the borrower,Vague 2021
52500,65,France,6.0,Because this credit is easy but dangerous and very expensive,Vague 2021
52501,55,France,5.0,Rates. Mandatory if you want a guarantee,Vague 2021
52502,66,France,8.0,Satisfied,Vague 2021
52503,37,Italy,6.0,It is a good banking institution with excellent loan opportunities,Vague 2021
52504,34,Italy,8.0,Kind and clear,Vague 2021
52505,67,Italy,7.0,Good relations,Vague 2021
52506,32,Italy,5.0,Positive,Vague 2021
52507,44,France,7.0,For the moment I have not had to complain about the services of the CIC,Vague 2021
52508,64,Italy,10.0,very serious,Vague 2021
52509,49,Italy,7.0,nomev,Vague 2021
52510,39,France,8.0,good rate,Vague 2021
52511,61,France,8.0,,Vague 2021
52512,42,France,7.0,Serious bank in which I trust,Vague 2021
52513,65,France,10.0,No problem with La Banque Postale.,Vague 2021
52514,69,France,9.0,"human relations, advice",Vague 2021
52515,78,France,7.0,any,Vague 2021
52516,60,Italy,2.0,Reliable ppco,Vague 2021
52517,60,France,10.0,Speed of loan,Vague 2021
52518,67,Italy,7.0,Facilitates the granting of the loan and the convenience of repayment,Vague 2021
52519,50,Italy,8.0,I had no problems,Vague 2021
52520,70,Italy,7.0,I needed,Vague 2021
52521,28,France,8.0,"Very good contact with my adviser, speed and simplicity of execution",Vague 2021
52522,48,Italy,8.0,excellent service,Vague 2021
52523,55,France,8.0,"Very practical, payment often in installments free of charge depending on the amount to be reimbursed, also serves as a loyalty card, classic payment",Vague 2021
52524,53,Italy,7.0,"never had any problems, fast delivery",Vague 2021
52525,35,Italy,8.0,It is a very well established institution. Ready for innovation.,Vague 2021
52526,59,France,6.0,It all depends on your advisor,Vague 2021
