,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
67,52,France,9.0,"skills, attractiveness of the rate, speed in the realization of the file",Vague 2021,positive,1,"['skills,', 'attractiveness', 'of', 'the', 'rate,', 'speed', 'in', 'the', 'realization', 'of', 'the', 'file']","['s', 'k', 'i', 'l', 'l', 's', ',', ' ', 'a', 't', 't', 'r', 'a', 'c', 't', 'i', 'v', 'e', 'n', 'e', 's', 's', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'r', 'a', 't', 'e', ',', ' ', 's', 'p', 'e', 'e', 'd', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'r', 'e', 'a', 'l', 'i', 'z', 'a', 't', 'i', 'o', 'n', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'f', 'i', 'l', 'e']",12,skills attractiveness rate speed realization file
68,55,France,5.0,for wealthy clients,Vague 2021,negative,0,"['for', 'wealthy', 'clients']","['f', 'o', 'r', ' ', 'w', 'e', 'a', 'l', 't', 'h', 'y', ' ', 'c', 'l', 'i', 'e', 'n', 't', 's']",3,wealthy clients
69,74,France,9.0,very interesting promotional rate. ease of setting up the file.,Vague 2021,positive,1,"['very', 'interesting', 'promotional', 'rate.', 'ease', 'of', 'setting', 'up', 'the', 'file.']","['v', 'e', 'r', 'y', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', 'i', 'n', 'g', ' ', 'p', 'r', 'o', 'm', 'o', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'r', 'a', 't', 'e', '.', ' ', 'e', 'a', 's', 'e', ' ', 'o', 'f', ' ', 's', 'e', 't', 't', 'i', 'n', 'g', ' ', 'u', 'p', ' ', 't', 'h', 'e', ' ', 'f', 'i', 'l', 'e', '.']",10,interesting promotional rate ease setting file
70,36,Italy,9.0,i had no problems with subscription or installment payments. i received assistance when requested and the conditions of the loan were transparent and without surprises,Vague 2021,positive,1,"['i', 'had', 'no', 'problems', 'with', 'subscription', 'or', 'installment', 'payments.', 'i', 'received', 'assistance', 'when', 'requested', 'and', 'the', 'conditions', 'of', 'the', 'loan', 'were', 'transparent', 'and', 'without', 'surprises']","['i', ' ', 'h', 'a', 'd', ' ', 'n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 's', 'u', 'b', 's', 'c', 'r', 'i', 'p', 't', 'i', 'o', 'n', ' ', 'o', 'r', ' ', 'i', 'n', 's', 't', 'a', 'l', 'l', 'm', 'e', 'n', 't', ' ', 'p', 'a', 'y', 'm', 'e', 'n', 't', 's', '.', ' ', 'i', ' ', 'r', 'e', 'c', 'e', 'i', 'v', 'e', 'd', ' ', 'a', 's', 's', 'i', 's', 't', 'a', 'n', 'c', 'e', ' ', 'w', 'h', 'e', 'n', ' ', 'r', 'e', 'q', 'u', 'e', 's', 't', 'e', 'd', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'c', 'o', 'n', 'd', 'i', 't', 'i', 'o', 'n', 's', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'l', 'o', 'a', 'n', ' ', 'w', 'e', 'r', 'e', ' ', 't', 'r', 'a', 'n', 's', 'p', 'a', 'r', 'e', 'n', 't', ' ', 'a', 'n', 'd', ' ', 'w', 'i', 't', 'h', 'o', 'u', 't', ' ', 's', 'u', 'r', 'p', 'r', 'i', 's', 'e', 's']",25,problems subscription installment payments received assistance requested conditions loan transparent without surprises
72,65,France,9.0,"i have been a customer of a local crã©dit du nord subsidiary, banque nuger, for more than 40 years. this bank has provided me with effective support both privately and professionally. it is a little more expensive than the other fees and in recent years there has been a lot of turnover of advisers, with loss of customer history. it is for these reasons that i have downgraded the recommendation score for this bank, which has been working locally for decades.",Vague 2021,positive,1,"['i', 'have', 'been', 'a', 'customer', 'of', 'a', 'local', 'crã©dit', 'du', 'nord', 'subsidiary,', 'banque', 'nuger,', 'for', 'more', 'than', '40', 'years.', 'this', 'bank', 'has', 'provided', 'me', 'with', 'effective', 'support', 'both', 'privately', 'and', 'professionally.', 'it', 'is', 'a', 'little', 'more', 'expensive', 'than', 'the', 'other', 'fees', 'and', 'in', 'recent', 'years', 'there', 'has', 'been', 'a', 'lot', 'of', 'turnover', 'of', 'advisers,', 'with', 'loss', 'of', 'customer', 'history.', 'it', 'is', 'for', 'these', 'reasons', 'that', 'i', 'have', 'downgraded', 'the', 'recommendation', 'score', 'for', 'this', 'bank,', 'which', 'has', 'been', 'working', 'locally', 'for', 'decades.']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'a', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 'o', 'f', ' ', 'a', ' ', 'l', 'o', 'c', 'a', 'l', ' ', 'c', 'r', 'ã', '©', 'd', 'i', 't', ' ', 'd', 'u', ' ', 'n', 'o', 'r', 'd', ' ', 's', 'u', 'b', 's', 'i', 'd', 'i', 'a', 'r', 'y', ',', ' ', 'b', 'a', 'n', 'q', 'u', 'e', ' ', 'n', 'u', 'g', 'e', 'r', ',', ' ', 'f', 'o', 'r', ' ', 'm', 'o', 'r', 'e', ' ', 't', 'h', 'a', 'n', ' ', '4', '0', ' ', 'y', 'e', 'a', 'r', 's', '.', ' ', 't', 'h', 'i', 's', ' ', 'b', 'a', 'n', 'k', ' ', 'h', 'a', 's', ' ', 'p', 'r', 'o', 'v', 'i', 'd', 'e', 'd', ' ', 'm', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'e', 'f', 'f', 'e', 'c', 't', 'i', 'v', 'e', ' ', 's', 'u', 'p', 'p', 'o', 'r', 't', ' ', 'b', 'o', 't', 'h', ' ', 'p', 'r', 'i', 'v', 'a', 't', 'e', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', 'l', 'y', '.', ' ', 'i', 't', ' ', 'i', 's', ' ', 'a', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'm', 'o', 'r', 'e', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e', ' ', 't', 'h', 'a', 'n', ' ', 't', 'h', 'e', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'f', 'e', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'i', 'n', ' ', 'r', 'e', 'c', 'e', 'n', 't', ' ', 'y', 'e', 'a', 'r', 's', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 'a', ' ', 'l', 'o', 't', ' ', 'o', 'f', ' ', 't', 'u', 'r', 'n', 'o', 'v', 'e', 'r', ' ', 'o', 'f', ' ', 'a', 'd', 'v', 'i', 's', 'e', 'r', 's', ',', ' ', 'w', 'i', 't', 'h', ' ', 'l', 'o', 's', 's', ' ', 'o', 'f', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 'h', 'i', 's', 't', 'o', 'r', 'y', '.', ' ', 'i', 't', ' ', 'i', 's', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', 's', 'e', ' ', 'r', 'e', 'a', 's', 'o', 'n', 's', ' ', 't', 'h', 'a', 't', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'd', 'o', 'w', 'n', 'g', 'r', 'a', 'd', 'e', 'd', ' ', 't', 'h', 'e', ' ', 'r', 'e', 'c', 'o', 'm', 'm', 'e', 'n', 'd', 'a', 't', 'i', 'o', 'n', ' ', 's', 'c', 'o', 'r', 'e', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'i', 's', ' ', 'b', 'a', 'n', 'k', ',', ' ', 'w', 'h', 'i', 'c', 'h', ' ', 'h', 'a', 's', ' ', 'b', 'e', 'e', 'n', ' ', 'w', 'o', 'r', 'k', 'i', 'n', 'g', ' ', 'l', 'o', 'c', 'a', 'l', 'l', 'y', ' ', 'f', 'o', 'r', ' ', 'd', 'e', 'c', 'a', 'd', 'e', 's', '.']",81,customer local cra dit nord subsidiary banque nuger years provided effective support privately professionally little expensive fees recent years lot turnover advisers loss customer history reasons downgraded recommendation score working locally decades
77,62,Italy,9.0,seriousness,Vague 2021,positive,1,['seriousness'],"['s', 'e', 'r', 'i', 'o', 'u', 's', 'n', 'e', 's', 's']",1,seriousness
80,52,France,5.0,this is normal credit,Vague 2021,negative,0,"['this', 'is', 'normal', 'credit']","['t', 'h', 'i', 's', ' ', 'i', 's', ' ', 'n', 'o', 'r', 'm', 'a', 'l', ' ', 'c', 'r', 'e', 'd', 'i', 't']",4,normal credit
82,50,France,10.0,"i have had my accounts, insurance, loans with them for more than 30 years and are always satisfied",Vague 2021,positive,1,"['i', 'have', 'had', 'my', 'accounts,', 'insurance,', 'loans', 'with', 'them', 'for', 'more', 'than', '30', 'years', 'and', 'are', 'always', 'satisfied']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'h', 'a', 'd', ' ', 'm', 'y', ' ', 'a', 'c', 'c', 'o', 'u', 'n', 't', 's', ',', ' ', 'i', 'n', 's', 'u', 'r', 'a', 'n', 'c', 'e', ',', ' ', 'l', 'o', 'a', 'n', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'f', 'o', 'r', ' ', 'm', 'o', 'r', 'e', ' ', 't', 'h', 'a', 'n', ' ', '3', '0', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'a', 'n', 'd', ' ', 'a', 'r', 'e', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 's', 'a', 't', 'i', 's', 'f', 'i', 'e', 'd']",18,accounts insurance loans years always satisfied
85,58,Italy,10.0,i have been interacting with them for years and i am very happy with them,Vague 2021,positive,1,"['i', 'have', 'been', 'interacting', 'with', 'them', 'for', 'years', 'and', 'i', 'am', 'very', 'happy', 'with', 'them']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'b', 'e', 'e', 'n', ' ', 'i', 'n', 't', 'e', 'r', 'a', 'c', 't', 'i', 'n', 'g', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'f', 'o', 'r', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'a', 'n', 'd', ' ', 'i', ' ', 'a', 'm', ' ', 'v', 'e', 'r', 'y', ' ', 'h', 'a', 'p', 'p', 'y', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm']",15,interacting years happy
86,69,France,0.0,the rates are enormous and the revolving system is a scam and moreover it is the large groups that give you discounts if you take out credit,Vague 2021,negative,0,"['the', 'rates', 'are', 'enormous', 'and', 'the', 'revolving', 'system', 'is', 'a', 'scam', 'and', 'moreover', 'it', 'is', 'the', 'large', 'groups', 'that', 'give', 'you', 'discounts', 'if', 'you', 'take', 'out', 'credit']","['t', 'h', 'e', ' ', 'r', 'a', 't', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'e', 'n', 'o', 'r', 'm', 'o', 'u', 's', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', ' ', 'r', 'e', 'v', 'o', 'l', 'v', 'i', 'n', 'g', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'i', 's', ' ', 'a', ' ', 's', 'c', 'a', 'm', ' ', 'a', 'n', 'd', ' ', 'm', 'o', 'r', 'e', 'o', 'v', 'e', 'r', ' ', 'i', 't', ' ', 'i', 's', ' ', 't', 'h', 'e', ' ', 'l', 'a', 'r', 'g', 'e', ' ', 'g', 'r', 'o', 'u', 'p', 's', ' ', 't', 'h', 'a', 't', ' ', 'g', 'i', 'v', 'e', ' ', 'y', 'o', 'u', ' ', 'd', 'i', 's', 'c', 'o', 'u', 'n', 't', 's', ' ', 'i', 'f', ' ', 'y', 'o', 'u', ' ', 't', 'a', 'k', 'e', ' ', 'o', 'u', 't', ' ', 'c', 'r', 'e', 'd', 'i', 't']",27,rates enormous revolving system scam moreover large groups give discounts take credit
91,70,Italy,9.0,coediality and availability,Vague 2021,positive,1,"['coediality', 'and', 'availability']","['c', 'o', 'e', 'd', 'i', 'a', 'l', 'i', 't', 'y', ' ', 'a', 'n', 'd', ' ', 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'i', 'l', 'i', 't', 'y']",3,coediality availability
92,52,France,6.0,they are long to create files and they are contradictory,Vague 2021,negative,0,"['they', 'are', 'long', 'to', 'create', 'files', 'and', 'they', 'are', 'contradictory']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'l', 'o', 'n', 'g', ' ', 't', 'o', ' ', 'c', 'r', 'e', 'a', 't', 'e', ' ', 'f', 'i', 'l', 'e', 's', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'c', 'o', 'n', 't', 'r', 'a', 'd', 'i', 'c', 't', 'o', 'r', 'y']",10,long create files contradictory
93,34,Italy,9.0,i like,Vague 2021,positive,1,"['i', 'like']","['i', ' ', 'l', 'i', 'k', 'e']",2,like
95,33,France,5.0,interest is way too high,Vague 2021,negative,0,"['interest', 'is', 'way', 'too', 'high']","['i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'i', 's', ' ', 'w', 'a', 'y', ' ', 't', 'o', 'o', ' ', 'h', 'i', 'g', 'h']",5,interest way high
99,49,France,10.0,quick and easy interest,Vague 2021,positive,1,"['quick', 'and', 'easy', 'interest']","['q', 'u', 'i', 'c', 'k', ' ', 'a', 'n', 'd', ' ', 'e', 'a', 's', 'y', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't']",4,quick easy interest
101,49,Italy,10.0,,Vague 2021,positive,1,[],[],0,
